candidate_id,type,name,developer,platform,target,phase,status,year,reference,notes
THR-001,Vaccine,ANDV Gn-Gc Subunit Vaccine,UT Austin / McLellan Lab,Protein subunit,Gn-Gc surface glycoprotein complex,Preclinical,Mouse immunization showing neutralizing antibodies (March 2026),2026,"UT Austin News, March 2026",First high-resolution 3D maps of Andes virus Gn-Gc; structure-based vaccine design
THR-002,Vaccine,Hantavirus DNA Vaccine (pWRG/AND-M),US Army / USAMRIID,DNA plasmid,M segment glycoprotein precursor,Phase 1,Completed Phase 1; >80% seroconversion; paused for funding,2019,"Hooper et al., Vaccine, 2014",Historically most advanced hantavirus vaccine candidate; requires electroporation delivery
THR-003,Vaccine,Hantavax (Inactivated HTNV/SEOV),Korea Green Cross,Inactivated virus,Whole inactivated Hantaan + Seoul virus,Licensed (Korea only),Licensed in South Korea since 1990; limited efficacy data,1990,"Cho et al., Vaccine, 2002",Only commercially available hantavirus vaccine; limited to HFRS; uncertain long-term efficacy
THR-004,mAb,Anti-ANDV Neutralizing mAb Panel,Dyadic International / Scripps Research,Monoclonal antibody,Gn head domain,Preclinical,Collaboration announced May 2026; scalable production platform,2026,"Dyadic International Press Release, May 2026",Using C1 protein production platform for rapid mAb manufacturing at scale
THR-005,mAb,ANDV/SNV Cross-Reactive mAbs,La Jolla Institute for Immunology,Monoclonal antibody,Gc glycoprotein stem region,Preclinical,B-cell and T-cell immune response characterization ongoing,2025,"LJI Research, 2025",Aims for pan-New World hantavirus broadly neutralizing antibodies
THR-006,Antiviral,Favipiravir (T-705),Toyama Chemical / Fujifilm,Small molecule (RdRp inhibitor),RNA-dependent RNA polymerase,Preclinical (for hantavirus),Inhibits ANDV replication in human cells and organoids in vitro,2024,"UCLA Research, 2024",Approved for influenza in Japan; repurposing candidate; oral administration
THR-007,Antiviral,Ribavirin,Valeant Pharmaceuticals,Small molecule (nucleoside analogue),Viral RNA synthesis,Compassionate use,Weak evidence for New World hantaviruses; used primarily for HFRS,1990,"Mertz et al., Lancet, 2004",Only antiviral with clinical use history for hantavirus; efficacy debated
THR-008,Vaccine,mRNA-ANDV-Spike,VIDO-InterVac / University of Saskatchewan,mRNA (lipid nanoparticle),Gn-Gc glycoprotein,Preclinical,Animal studies ongoing; leveraging COVID-era mRNA platforms,2025,"VIDO Research, 2025",mRNA technology transfer from SARS-CoV-2 vaccine programs
THR-009,Vaccine,rVSV-ANDV,Public Health Agency of Canada,Viral vector (VSV-based),ANDV glycoproteins,Preclinical,Protective in hamster models; single-dose regimen,2022,"Safronetz et al., 2022",Similar platform to Merck's Ebola vaccine (Ervebo); strong preclinical data
THR-010,Immunotherapy,Convalescent Plasma Therapy,Multiple institutions,Passive immunization,Polyclonal anti-ANDV antibodies,Compassionate use,Used in MV Hondius outbreak (2026); anecdotal benefit reports,2008,"Vial et al., JID, 2015",Open-label trial in Chile showed potential mortality reduction; logistics challenging
THR-011,Vaccine,VLP-Hantavirus (Virus-Like Particle),Mabion / Polish Academy of Sciences,Virus-like particle,Nucleocapsid protein,Preclinical,Collaboration announced May 2026 for rapid development,2026,"Mabion Press Release, May 2026",VLP platform for enhanced immunogenicity without live virus
THR-012,Diagnostic,Rapid Point-of-Care ANDV Test,InBios International,Lateral flow immunoassay,ANDV IgM/IgG antibodies,CE-marked / FDA EUA pending,Deployed during MV Hondius outbreak for rapid screening,2024,"InBios International, 2024",15-minute result; critical for early diagnosis in field settings
THR-013,Supportive,ECMO Protocol for HCPS,ELSO (Extracorporeal Life Support Organization),Mechanical circulatory support,Cardiogenic shock in severe HCPS,Standard of care,Established; survival benefit demonstrated in critical HPS,2010,"Wernly et al., Critical Care, 2020",VA-ECMO preferred; early initiation (<24h of shock) associated with improved survival
THR-014,Antiviral,Lactimidomycin Analogs,NIH / NIAID,Small molecule (translation inhibitor),Viral protein translation machinery,Early preclinical,In vitro activity against multiple hantavirus strains,2023,"NIH NIAID, 2023",Novel mechanism of action; broad-spectrum potential
THR-015,Vaccine,ChAdOx-ANDV,Oxford University / Jenner Institute,Viral vector (Chimpanzee adenovirus),ANDV Gn-Gc glycoproteins,Preclinical,ISARIC CCP framework activated post-MV Hondius; accelerated development,2026,"Oxford University, May 2026",Same ChAdOx platform as AstraZeneca COVID vaccine; rapid deployment capability
